TIME_UNITS: SECONDS
SERIE_INITIAL_DATA: 2017 10 30 00 00 00
NAME : Mare esquematica 
COORD_X : 26.03478
COORD_Y : 40.7444

Date   U  V  N
<BeginTimeSerie>
0 0.1 0 2
120 0.09998477 0 2.034904813
240 0.099939082 0 2.069798993
360 0.099862954 0 2.104671912
480 0.099756406 0 2.139512947
600 0.09961947 0 2.174311485
720 0.09945219 0 2.209056927
840 0.099254616 0 2.243738687
960 0.099026806 0 2.278346202
1080 0.098768834 0 2.31286893
1200 0.098480776 0 2.347296355
1320 0.098162718 0 2.381617991
1440 0.09781476 0 2.415823382
1560 0.097437006 0 2.449902109
1680 0.097029572 0 2.483843791
1800 0.096592582 0 2.51763809
1920 0.09612617 0 2.551274712
2040 0.095630476 0 2.584743409
2160 0.095105652 0 2.618033989
2280 0.094551858 0 2.651136309
2400 0.093969262 0 2.684040287
2520 0.093358042 0 2.716735899
2640 0.092718386 0 2.749213187
2760 0.092050486 0 2.781462257
2880 0.091354546 0 2.813473286
3000 0.090630778 0 2.845236523
3120 0.089879404 0 2.876742294
3240 0.089100652 0 2.907980999
3360 0.08829476 0 2.938943126
3480 0.08746197 0 2.96961924
3600 0.08660254 0 3
3720 0.08571673 0 3.03007615
3840 0.08480481 0 3.059838528
3960 0.083867056 0 3.08927807
4080 0.082903758 0 3.118385807
4200 0.081915204 0 3.147152873
4320 0.0809017 0 3.175570505
4440 0.079863552 0 3.203630046
4560 0.078801076 0 3.231322951
4680 0.077714596 0 3.258640782
4800 0.076604444 0 3.285575219
4920 0.075470958 0 3.312118058
5040 0.074314482 0 3.338261213
5160 0.07313537 0 3.36399672
5280 0.07193398 0 3.389316741
5400 0.070710678 0 3.414213562
5520 0.069465838 0 3.438679601
5640 0.068199836 0 3.462707403
5760 0.06691306 0 3.486289651
5880 0.065605902 0 3.50941916
6000 0.06427876 0 3.532088886
6120 0.06293204 0 3.554291923
6240 0.061566148 0 3.576021507
6360 0.060181502 0 3.59727102
6480 0.058778526 0 3.618033989
6600 0.057357644 0 3.638304089
6720 0.05591929 0 3.658075145
6840 0.054463904 0 3.677341136
6960 0.052991926 0 3.696096192
7080 0.051503808 0 3.714334601
7200 0.05 0 3.732050808
7320 0.048480962 0 3.749239414
7440 0.046947156 0 3.765895186
7560 0.04539905 0 3.782013048
7680 0.043837114 0 3.797588093
7800 0.042261826 0 3.812615574
7920 0.040673664 0 3.827090915
8040 0.039073112 0 3.841009707
8160 0.03746066 0 3.854367709
8280 0.035836794 0 3.867160853
8400 0.034202014 0 3.879385242
8520 0.032556816 0 3.891037151
8640 0.0309017 0 3.902113033
8760 0.02923717 0 3.912609512
8880 0.027563736 0 3.922523392
9000 0.025881904 0 3.931851653
9120 0.02419219 0 3.940591453
9240 0.022495106 0 3.94874013
9360 0.02079117 0 3.956295201
9480 0.0190809 0 3.963254367
9600 0.017364818 0 3.969615506
9720 0.015643446 0 3.975376681
9840 0.01391731 0 3.980536137
9960 0.012186934 0 3.985092303
10080 0.010452846 0 3.989043791
10200 0.008715574 0 3.992389396
10320 0.006975648 0 3.995128101
10440 0.005233596 0 3.99725907
10560 0.00348995 0 3.998781654
10680 0.00174524 0 3.99969539
10800 1.22515E-17 0 4
10920 -0.00174524 0 3.99969539
11040 -0.00348995 0 3.998781654
11160 -0.005233596 0 3.99725907
11280 -0.006975648 0 3.995128101
11400 -0.008715574 0 3.992389396
11520 -0.010452846 0 3.989043791
11640 -0.012186934 0 3.985092303
11760 -0.01391731 0 3.980536137
11880 -0.015643446 0 3.975376681
12000 -0.017364818 0 3.969615506
12120 -0.0190809 0 3.963254367
12240 -0.02079117 0 3.956295201
12360 -0.022495106 0 3.94874013
12480 -0.02419219 0 3.940591453
12600 -0.025881904 0 3.931851653
12720 -0.027563736 0 3.922523392
12840 -0.02923717 0 3.912609512
12960 -0.0309017 0 3.902113033
13080 -0.032556816 0 3.891037151
13200 -0.034202014 0 3.879385242
13320 -0.035836794 0 3.867160853
13440 -0.03746066 0 3.854367709
13560 -0.039073112 0 3.841009707
13680 -0.040673664 0 3.827090915
13800 -0.042261826 0 3.812615574
13920 -0.043837114 0 3.797588093
14040 -0.04539905 0 3.782013048
14160 -0.046947156 0 3.765895186
14280 -0.048480962 0 3.749239414
14400 -0.05 0 3.732050808
14520 -0.051503808 0 3.714334601
14640 -0.052991926 0 3.696096192
14760 -0.054463904 0 3.677341136
14880 -0.05591929 0 3.658075145
15000 -0.057357644 0 3.638304089
15120 -0.058778526 0 3.618033989
15240 -0.060181502 0 3.59727102
15360 -0.061566148 0 3.576021507
15480 -0.06293204 0 3.554291923
15600 -0.06427876 0 3.532088886
15720 -0.065605902 0 3.50941916
15840 -0.06691306 0 3.486289651
15960 -0.068199836 0 3.462707403
16080 -0.069465838 0 3.438679601
16200 -0.070710678 0 3.414213562
16320 -0.07193398 0 3.389316741
16440 -0.07313537 0 3.36399672
16560 -0.074314482 0 3.338261213
16680 -0.075470958 0 3.312118058
16800 -0.076604444 0 3.285575219
16920 -0.077714596 0 3.258640782
17040 -0.078801076 0 3.231322951
17160 -0.079863552 0 3.203630046
17280 -0.0809017 0 3.175570505
17400 -0.081915204 0 3.147152873
17520 -0.082903758 0 3.118385807
17640 -0.083867056 0 3.08927807
17760 -0.08480481 0 3.059838528
17880 -0.08571673 0 3.03007615
18000 -0.08660254 0 3
18120 -0.08746197 0 2.96961924
18240 -0.08829476 0 2.938943126
18360 -0.089100652 0 2.907980999
18480 -0.089879404 0 2.876742294
18600 -0.090630778 0 2.845236523
18720 -0.091354546 0 2.813473286
18840 -0.092050486 0 2.781462257
18960 -0.092718386 0 2.749213187
19080 -0.093358042 0 2.716735899
19200 -0.093969262 0 2.684040287
19320 -0.094551858 0 2.651136309
19440 -0.095105652 0 2.618033989
19560 -0.095630476 0 2.584743409
19680 -0.09612617 0 2.551274712
19800 -0.096592582 0 2.51763809
19920 -0.097029572 0 2.483843791
20040 -0.097437006 0 2.449902109
20160 -0.09781476 0 2.415823382
20280 -0.098162718 0 2.381617991
20400 -0.098480776 0 2.347296355
20520 -0.098768834 0 2.31286893
20640 -0.099026806 0 2.278346202
20760 -0.099254616 0 2.243738687
20880 -0.09945219 0 2.209056927
21000 -0.09961947 0 2.174311485
21120 -0.099756406 0 2.139512947
21240 -0.099862954 0 2.104671912
21360 -0.099939082 0 2.069798993
21480 -0.09998477 0 2.034904813
21600 -0.1 0 2
21720 -0.09998477 0 1.965095187
21840 -0.099939082 0 1.930201007
21960 -0.099862954 0 1.895328088
22080 -0.099756406 0 1.860487053
22200 -0.09961947 0 1.825688515
22320 -0.09945219 0 1.790943073
22440 -0.099254616 0 1.756261313
22560 -0.099026806 0 1.721653798
22680 -0.098768834 0 1.68713107
22800 -0.098480776 0 1.652703645
22920 -0.098162718 0 1.618382009
23040 -0.09781476 0 1.584176618
23160 -0.097437006 0 1.550097891
23280 -0.097029572 0 1.516156209
23400 -0.096592582 0 1.48236191
23520 -0.09612617 0 1.448725288
23640 -0.095630476 0 1.415256591
23760 -0.095105652 0 1.381966011
23880 -0.094551858 0 1.348863691
24000 -0.093969262 0 1.315959713
24120 -0.093358042 0 1.283264101
24240 -0.092718386 0 1.250786813
24360 -0.092050486 0 1.218537743
24480 -0.091354546 0 1.186526714
24600 -0.090630778 0 1.154763477
24720 -0.089879404 0 1.123257706
